"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.434345760E-1	-3.519476354E-1	-9.504981041E-1	1.049887371E1	1.054768520E1
7.454345760E-1	-3.184288144E-1	-9.600749016E-1	1.049647999E1	1.054510469E1
7.474354420E-1	-2.849099934E-1	-9.624691010E-1	1.049887371E1	1.054674688E1
7.494363080E-1	-2.418143749E-1	-9.576807022E-1	1.051084518E1	1.055715364E1
7.514371740E-1	-1.987187415E-1	-9.409212470E-1	1.052999878E1	1.057382127E1
7.534380070E-1	-1.508347094E-1	-9.217676520E-1	1.057788277E1	1.061904000E1
7.554380400E-1	-1.101332754E-1	-9.002198577E-1	1.065689087E1	1.069541248E1
7.574380730E-1	-8.619125932E-2	-8.930372596E-1	1.076941872E1	1.080672587E1
7.594381060E-1	-1.005564705E-1	-8.954314590E-1	1.088194561E1	1.091918721E1
7.614381390E-1	-1.364694983E-1	-9.145850539E-1	1.100644493E1	1.104522158E1
7.634381720E-1	-1.819593310E-1	-9.433154464E-1	1.111897182E1	1.116039819E1
7.654382050E-1	-2.226607651E-1	-9.720458984E-1	1.120995140E1	1.125421972E1
7.674373710E-1	-2.489969730E-1	-1.000776291E0	1.129135418E1	1.133835226E1
7.694365040E-1	-2.681505978E-1	-1.024718285E0	1.136078644E1	1.141005788E1
7.714356040E-1	-2.705447972E-1	-1.046266198E0	1.141585255E1	1.146688959E1
7.734347040E-1	-2.561795712E-1	-1.072602391E0	1.146373749E1	1.151665668E1
7.754346700E-1	-2.394201756E-1	-1.115697980E0	1.150683308E1	1.156327425E1
7.774346360E-1	-2.274491638E-1	-1.158793569E0	1.154514027E1	1.160537804E1
7.794343360E-1	-2.274491638E-1	-1.211466074E0	1.158344746E1	1.164884707E1
7.814343020E-1	-2.322375625E-1	-1.273715258E0	1.161935997E1	1.169127072E1
7.834343020E-1	-2.418143749E-1	-1.326387763E0	1.164809036E1	1.172585979E1
7.854343020E-1	-2.609679997E-1	-1.379060149E0	1.167442703E1	1.175849300E1
7.874352020E-1	-2.825157940E-1	-1.431732655E0	1.168879223E1	1.177953893E1
7.894361020E-1	-3.040636182E-1	-1.479616642E0	1.169358063E1	1.179073993E1
7.914370020E-1	-3.256114423E-1	-1.522712231E0	1.168400383E1	1.178730762E1
7.934379020E-1	-3.471592367E-1	-1.561019540E0	1.166245556E1	1.177158321E1
7.954388350E-1	-3.663128614E-1	-1.592144132E0	1.163611984E1	1.175025076E1
7.974388680E-1	-3.902548850E-1	-1.608903527E0	1.160020638E1	1.171774967E1
7.994389010E-1	-4.118026793E-1	-1.613691926E0	1.155950546E1	1.167885909E1
8.014389010E-1	-4.285621047E-1	-1.606509328E0	1.152119827E1	1.164055614E1
8.034386670E-1	-4.477157295E-1	-1.584961534E0	1.147331429E1	1.159092288E1
8.054386670E-1	-4.692635238E-1	-1.544260144E0	1.141585255E1	1.152938147E1
8.074378000E-1	-4.884171486E-1	-1.498770237E0	1.136078644E1	1.146962650E1
8.094378000E-1	-5.051765442E-1	-1.434126854E0	1.129853725E1	1.140038891E1
8.114378000E-1	-5.219359994E-1	-1.352723956E0	1.123149967E1	1.132470150E1
8.134378000E-1	-5.386953950E-1	-1.278503656E0	1.116685581E1	1.125270781E1
8.154374660E-1	-5.578489900E-1	-1.199495077E0	1.108784771E1	1.116648337E1
8.174374320E-1	-5.817909837E-1	-1.113303781E0	1.100165653E1	1.107313743E1
8.194373980E-1	-6.033388376E-1	-1.031900883E0	1.092264748E1	1.098785990E1
8.214373640E-1	-6.344634295E-1	-9.481038451E-1	1.083885002E1	1.089872077E1
8.234373300E-1	-6.703764796E-1	-8.619126081E-1	1.075744724E1	1.081272256E1
8.254368300E-1	-7.038952708E-1	-7.852981687E-1	1.068562126E1	1.073753526E1
8.274376630E-1	-7.445967197E-1	-7.206547260E-1	1.061858368E1	1.066902464E1
8.294384960E-1	-7.805097699E-1	-6.679822803E-1	1.055872917E1	1.060858886E1
8.314393620E-1	-8.116343617E-1	-6.248866320E-1	1.050605679E1	1.055587338E1
8.334402620E-1	-8.451532125E-1	-5.841852427E-1	1.045817184E1	1.050851629E1
8.354393950E-1	-8.786720037E-1	-5.530605912E-1	1.041747093E1	1.046908024E1
8.374394280E-1	-9.097966552E-1	-5.315127969E-1	1.038634586E1	1.043965594E1
8.394397280E-1	-9.457096457E-1	-5.171475410E-1	1.036001015E1	1.041593100E1
8.414397610E-1	-9.816226959E-1	-5.099649429E-1	1.033846188E1	1.039747283E1
